"","club.name","field.name","field.address"
"120","Fairfax Police Youth Club","Oakton HS 3R","2900 Sutton Rd., Vienna, VA 22181"
"121","Fairfax Police Youth Club","Stafford Drive Park Turf 1","3300 Stafford Dr, Fairfax, VA 22030"
"122","FC Frederick","Gov. Thomas Johnson MS # 3","1730 N Market St, Frederick, MD 21701"
"123","FC Frederick","Gov. Thomas Johnson MS #2","1730 N Market St, Frederick, MD 21701"
"124","FC Frederick","St. John's Catholic Prep #1","3989 Buckeystown Pike, Buckeystown, MD 21717"
"125","FCV ASHBURN","Bles Park #1","44830 Riverside Parkway, Ashburn, VA 20147"
"126","FCV ASHBURN","Bles Park #2","44830 Riverside Parkway, Ashburn, VA 20147"
"127","FCV ASHBURN","Bles Park #3A","44830 Riverside Parkway, Ashburn, VA 20147"
"128","FCV ASHBURN","Bles Park #4","44830 Riverside Parkway, Ashburn, VA 20147"
"129","Fredericksburg Soccer Club Inc","Bull Run Park #1","7700 Bull Run Dr, Centreville, VA 20121"
"130","Fredericksburg Soccer Club Inc","Bull Run Park #4","7700 Bull Run Dr, Centreville, VA 20121"
"131","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #3","5710 Smith Station Road, Fredericksburg, VA 22407"
"132","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #5","5710 Smith Station Road, Fredericksburg, VA 22407"
"133","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #6","5710 Smith Station Road, Fredericksburg, VA 22407"
"134","Front Royal Soccer Association","Skyline Soccerplex Field 2- U-12","100 Kerfoot Ave., Front Royal, VA 22630"
"135","Front Royal Soccer Association","Skyline Soccerplex Field 3 U-14/Senior","100 Kerfoot Ave., Front Royal, VA 22630"
"136","Front Royal Soccer Association","Skyline Soccerplex Field 8 U 14/Senior","100 Kerfoot Ave., Front Royal, VA 22630"
"137","Future Soccer Club","Marlboro Meadows Field#1 Field 1","4428 Dery Rd, Upper Marlboro, MD 20772"
"138","Future Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841"
"139","Future Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841"
"140","Future Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"141","Future Soccer Club","Maryland SoccerPlex #17","18031 Central Park Circle, Boyds, MD 20841"
"142","Future Soccer Club","Maryland SoccerPlex #2","18031 Central Park Circle, Boyds, MD 20841"
"143","Future Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841"
"144","Future Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"145","Future Soccer Club","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841"
"146","Future Soccer Club","Maryland SoccerPlex #5","18031 Central Park Circle, Boyds, MD 20841"
"147","Future Soccer Club","Maryland SoccerPlex #7","18031 Central Park Circle, Boyds, MD 20841"
"148","Future Soccer Club","Maryland SoccerPlex #9","18031 Central Park Circle, Boyds, MD 20841"
"149","Future Soccer Club","Ridge Road Recreational Park Field #5 (Games Only)","21155 N Frederick Rd, Germantown, MD 20876"
"150","Great Falls SC","Baron Cameron Park #10A","11300 Baron Cameron Avenue, Reston, VA 20190"
"151","Great Falls SC","Baron Cameron Park #10B","11300 Baron Cameron Avenue, Reston, VA 20190"
"152","Great Falls SC","Grand Hamptons Park 1","1081 Safa Street, Herndon, VA 20170"
"153","Great Falls SC","Jones Branch Park #1 Large","8008 Jones Branch Road, Tysons, VA 22102"
"154","Great Falls SC","Lockmeade Park #1","1104 Riva Ridge Drive, Great Falls, VA 22066"
"155","Great Falls SC","Nike Park #4 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066"
"156","Great Falls SC","Nike Park #7 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066"
"157","Great Falls SC","Nike Park #8 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066"
"158","Great Falls SC","Nike Park 4A","1085 Utterback Store Rd, Great Falls, VA 22066"
"159","Great Falls SC","Nike Park 4B","1085 Utterback Store Rd, Great Falls, VA 22066"
"160","Great Falls SC","Nike Park 7A","1085 Utterback Store Rd, Great Falls, VA 22066"
"161","Great Falls SC","Nike Park 7B","1085 Utterback Store Rd, Great Falls, VA 22066"
"162","Great Falls SC","Witter Fields Complex #1b","2600 Witter Street, Alexandria, VA 22314"
"163","Gunston Soccer Club","Grist Mill Park # 5A (U9-U12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309"
"164","Gunston Soccer Club","Grist Mill Park # 5B (U9-U12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309"
"165","Gunston Soccer Club","Grist Mill Park #4","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309"
"166","Gunston Soccer Club","Grist Mill Park #4A (U9-12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309"
"167","Gunston Soccer Club","Grist Mill Park #4B (U9-12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309"
"168","Gunston Soccer Club","Mount Vernon High School RF#1","8515 Old Mt. Vernon Rd., Alexandria, VA 22309"
"169","Gunston Soccer Club","Mount Vernon High School Stadium","8515 Old Mt. Vernon Rd., Alexandria, VA 22309"
"170","Herndon Youth Soccer Association","Arrowbrook","2351 Feld Point Rd, Herndon, Va 20171"
"171","Herndon Youth Soccer Association","Bready Park(at Herndon Community Center) Bready Park # 1A","814 Ferndale Ave, Herndon, Va 20170"
"172","Herndon Youth Soccer Association","Bready Park(at Herndon Community Center) Bready Park # 1B","814 Ferndale Ave, Herndon, Va 20170"
"173","Herndon Youth Soccer Association","Herndon High School Auxiliary Field","700 Bennett Street, Herndon, Va 20170"
"174","Herndon Youth Soccer Association","Herndon High School Stadium Field","700 Bennett Street, Herndon, Va 20170"
"175","Herndon Youth Soccer Association","Hutchison Park #4 (Turf)","13209 Parcher Ave, Herndon, VA 20170"
"176","La Plata Soccer Academy","Bryantown Sports Complex #03","5665 Bryantown Road, Waldorf, MD 20601"
"177","La Plata Soccer Academy","Bryantown Sports Complex #12","5665 Bryantown Road, Waldorf, MD 20601"
"178","La Plata Soccer Academy","Laurel Spring Regional Park Regulation #1","5940 Radio Station Road, La Plata, MD 20646"
"179","La Plata Soccer Academy","Laurel Springs intermediate field #2","5940 Radio Station Road, La Plata Md, MD 20646"
"180","Laurel Soccer Club","Fairland Aquatic Center soccer field","13820 Old Gunpowder Road, Laurel, MD 20707"
"181","Laurel Soccer Club","Fairland Center","13313 Old Columbia Pike, Silver Spring, MD 20904"
"182","Laurel Soccer Club","Fairland Rec Park #5 TURF","3928 Greencastle Rd, Burtonsville,, MD 20866"
"183","Laurel Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841"
"184","Laurel Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"185","Laurel Soccer Club","Maryland SoccerPlex #19a","18031 Central Park Circle, Boyds, MD 20841"
"186","Laurel Soccer Club","Maryland SoccerPlex #20a","18031 Central Park Circle, Boyds, MD 20841"
"187","Laurel Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"188","Laurel Soccer Club","William Tyler Page ES #1","13400 Tamarack Rd., Silver Spring, MD 20904"
"189","Lee-Mt. Vernon Sports Club","Bull Run Park #1","7700 Bull Run Dr, Centreville, VA 20121"
"190","Lee-Mt. Vernon Sports Club","Edison HS Aux Right","5801 Franconia Road, Alexandria, VA 22310"
"191","Lee-Mt. Vernon Sports Club","Edison High School Stadium Field","5801 Franconia Road, Alexandria, VA 22310"
"192","Lee-Mt. Vernon Sports Club","Lee District Park #4 Left","6601 Telegraph Road, Alexandria, VA 22310"
"193","Lee-Mt. Vernon Sports Club","Lee District Park #4 Right","6601 Telegraph Road, Alexandria, VA 22310"
"194","Lee-Mt. Vernon Sports Club","Lee District Park Lee District","6601 Telegraph Road, Alexandria, VA 22310"
"195","Lee-Mt. Vernon Sports Club","West Potomac HS Stadium","6500 Quander Road,, Alexandria, VA 22308"
"196","Leesburg Football Club","Evergreen Sportsplex #2","19623 Evergreen Mill Road, Leesburg, VA"
"197","Leesburg Football Club","Morven Park #1","41793 Tutt Lane, Leesburg, VA 20176"
"198","Leesburg Football Club","Morven Park #2","41793 Tutt Lane, Leesburg, VA 20176"
"199","Leesburg Football Club","Morven Park #3","41793 Tutt Lane, Leesburg, VA 20176"
"200","Leesburg Football Club","Morven Park #5A","41793 Tutt Lane, Leesburg, VA 20176"
"201","Loudoun Soccer","Byrnes Ridge #4","24915 Mineral Springs Circle, Aldie, VA 20105"
"202","Loudoun Soccer","Byrnes Ridge #5","24915 Mineral Springs Circle, Aldie, VA 20105"
"203","Loudoun Soccer","Conklin Park #2","25701 Donegal Drive, Chantilly, VA 20152"
"204","Loudoun Soccer","Conklin Park #3","25701 Donegal Drive, Chantilly, VA 20152"
"205","Loudoun Soccer","Eastgate Park #1","43664 Tall Cedars Parkway, Chantilly, VA"
"206","Loudoun Soccer","Lyndora #2A","43624 Lucketts Bridge Circle, Ashburn, VA 20148"
"207","Loudoun Soccer","Riverside HS #2","19019 Upper Belmont Pl, Leesburg, VA 20176"
"208","Loudoun Soccer","Riverside HS Stadium","19019 Upper Belmont Pl, Leesburg, VA 20176"
"209","Maryland Rush","Bates Heritage Turf","121 S. Villa Ave., Annapolis, MD 21401"
"210","Maryland Rush","Weems-Whalen Field at Bates Athletic Complex","935 Spa Rd, Annapolis, MD 21401"
